LLINDAR POBLACIÓ,ÀREA GEOGRÀFICA,CIUTAT,Codi Municipi,pers,llar,cult,quot,host,serv,trans,altr,other,localb,naub,perscultllar,actius comercials,actius,total,IATC,IAC,Municipi,IDC
>20k,"Tortosa, Amposta.",Amposta,430141,97,22,25,28,85,135,14,18,30,118,,144,424,454,572,79.37,31.72,21115,2.01
>20k,"Barcelonès, Baix Llobregat.",Badalona,080155,444,295,189,773,828,1502,225,236,295,1554,12,928,4492,4787,6353,75.35,19.39,223166,2.01
>20k,"Olot, Banyoles, Figueres.",Banyoles,170157,75,26,31,48,49,109,14,21,19,88,,132,373,392,480,81.67,33.67,20053,1.86
>20k,"Vallès Occidental, alt Baix Llobregat",Barberà del Vallès,082520,44,32,18,63,65,135,10,19,8,70,,94,386,394,464,84.91,23.86,33334,1.16
>20k,"Barcelonès, Baix Llobregat.",Barcelona,080193,8228,3574,3946,8218,12063,17155,2800,3883,2821,13917,88,15748,59867,62688,76693,81.74,25.12,1664182,3.6
>20k,"Maresme, Costa Brava.",Blanes,170237,129,30,22,40,73,123,7,28,13,81,,181,452,465,546,85.16,38.92,39914,1.13
>20k,"Penedès, Garraf.",Calafell,430379,60,24,19,57,192,136,11,34,26,104,,103,533,559,663,84.31,18.43,27601,1.93
>20k,"Penedès, Garraf.",Cambrils,430385,150,66,39,110,296,268,39,54,27,535,5,255,1022,1049,1589,66.02,24.31,34734,2.94
>20k,"Vallès Occidental, alt Baix Llobregat",Castellar del Vallès,080517,43,8,13,47,40,83,4,24,6,53,,64,262,268,321,83.49,23.88,24488,1.07
>20k,"Barcelonès, Baix Llobregat.",Castelldefels,080569,150,82,83,182,483,586,51,80,27,334,,315,1697,1724,2058,83.77,18.27,67460,2.52
>20k,"Vallès Occidental, alt Baix Llobregat",Cerdanyola del Vallès,082665,160,106,106,238,298,624,89,137,230,418,13,372,1758,1988,2419,82.18,18.71,57855,3.04
>20k,"Barcelonès, Baix Llobregat.",Cornellà de llobregat,080734,237,156,111,456,478,1043,131,111,361,798,22,504,2723,3084,3904,79,16.34,89936,3.03
>20k,Maresme.,El Masnou,081189,60,36,26,70,71,200,27,32,28,44,,122,522,550,594,92.59,22.18,23831,2.19
>20k,"Barcelonès, Baix Llobregat.",El Prat de Llobregat,081691,258,150,91,280,395,609,189,242,706,1176,57,499,2214,2920,4153,70.31,17.09,65385,3.39
>20k,"Penedès, Garraf.",El Vendrell,431634,163,98,45,125,259,341,53,81,49,333,,306,1165,1214,1547,78.47,25.21,38373,3.04
>20k,"Penedès, Garraf.",Esparreguera,080765,49,25,20,59,65,141,14,29,9,258,,94,402,411,669,61.43,22.87,22302,1.8
>20k,"Barcelonès, Baix Llobregat.",Esplugues de Llobregat,080771,125,91,62,174,196,452,83,73,128,506,8,278,1256,1384,1898,72.92,20.09,47150,2.66
>20k,"Olot, Banyoles, Figueres.",Figueres,170669,315,160,105,223,348,642,185,114,149,474,85,580,2092,2241,2800,80.04,25.88,47235,4.43
>20k,"Barcelonès, Baix Llobregat.",Gavà,080898,52,18,16,38,51,85,5,5,11,15,,86,270,281,296,94.93,30.6,47057,0.57
>20k,"Girona, Costa Brava.",Girona,170792,466,214,184,460,534,996,160,161,234,1021,17,864,3175,3409,4447,76.66,25.34,103369,3.07
>20k,Vallès Oriental.,Granollers,080961,262,156,136,291,328,842,104,127,118,870,14,554,2246,2364,3248,72.78,23.43,62419,3.6
>20k,"Igualada, Manresa.",Igualada,081022,134,37,35,59,80,189,14,20,21,90,,206,568,589,679,86.75,34.97,40742,1.39
>20k,"Barcelonès, Baix Llobregat.",L'Hospitalet de Llobregat,081017,729,587,268,1289,1327,2639,496,719,1577,4083,77,1584,8054,9631,13791,69.84,16.45,269382,2.99
>20k,Vallès Oriental.,Les Franqueses del Vallès,080863,9,13,14,34,51,107,21,10,5,279,1,36,259,264,544,48.53,13.64,20364,1.27
>20k,Paeria.,Lleida,251207,597,236,201,463,759,1843,284,266,439,3084,25,1034,4649,5088,8197,62.07,20.32,140403,3.31
>20k,"Maresme, Costa Brava.",Lloret de Mar,170950,77,34,17,49,101,63,6,53,12,68,,128,400,412,480,85.83,31.07,39089,1.02
>20k,"Vic, Manlleu.",Manlleu,081120,49,29,11,56,68,124,22,23,14,278,1,89,382,396,675,58.67,22.47,20912,1.83
>20k,"Igualada, Manresa.",Manresa,081136,262,81,67,143,143,310,51,75,20,194,,410,1132,1152,1346,85.59,35.59,78245,1.45
>20k,"Igualada, Manresa.",Martorell,081141,86,58,41,75,120,289,48,44,47,310,1,185,761,808,1119,72.21,22.9,28772,2.64
>20k,Maresme.,Mataró,081213,483,273,251,530,645,1256,254,227,417,1595,59,1007,3919,4336,5990,72.39,23.22,129661,3.02
>20k,"Barcelonès, Baix Llobregat.",Molins de Rei,081234,77,22,17,69,35,88,9,17,15,27,,116,334,349,376,92.82,33.24,25940,1.29
